## This file was generated by InflowWind_Driver on 31-Mar-2021 at 11:44:43.
## This file contains the wind velocity at a grid of points at each requested timestep
## It is arranged as blocks of X,Y,Z,U,V,W at each timestep
## Each block is separated by two blank lines for use in gnuplot
# 
#  Requested data:
#    Dimension             Range             Stepsize       Num. points
#   -------------------------------------------------------------------
#       X         -4.50    ->    4.50          1.00             10
#       Y         -4.50    ->    4.50          1.00             10
#       Z        145.50    ->  154.50          1.00             10
#       T          0.0000  ->    1.0000        0.1000           10     
# 
# 
#           X              Y              Z              U              V              W
#          (m)            (m)            (m)           (m/s)          (m/s)          (m/s)



# Time: 0
    -2.5000000        0.5000000      153.5000000       16.700       -1.760       -1.951
    -2.5000000        1.5000000      153.5000000       16.958       -1.774       -1.590
    -2.5000000        2.5000000      153.5000000       17.217       -1.788       -1.230
    -2.5000000        3.5000000      153.5000000       17.475       -1.802       -0.870
    -2.5000000        4.5000000      153.5000000       17.734       -1.816       -0.510
    -2.5000000       -4.5000000      154.5000000       16.176       -1.272       -2.122
    -2.5000000       -3.5000000      154.5000000       16.310       -1.400       -2.140
    -2.5000000       -2.5000000      154.5000000       16.444       -1.528       -2.159
    -2.5000000       -1.5000000      154.5000000       16.577       -1.656       -2.177
    -2.5000000       -0.5000000      154.5000000       16.711       -1.784       -2.196
    -2.5000000        0.5000000      154.5000000       16.898       -1.826       -2.047
    -2.5000000        1.5000000      154.5000000       17.137       -1.782       -1.729
    -2.5000000        2.5000000      154.5000000       17.376       -1.738       -1.412
    -2.5000000        3.5000000      154.5000000       17.616       -1.694       -1.094
    -2.5000000        4.5000000      154.5000000       17.855       -1.651       -0.777
    -1.5000000       -4.5000000      145.5000000       16.236       -1.509       -0.895
    -1.5000000       -3.5000000      145.5000000       16.498       -0.911       -0.583
    -1.5000000       -2.5000000      145.5000000       16.759       -0.313       -0.271
    -1.5000000       -1.5000000      145.5000000       17.021        0.284        0.040
    -1.5000000       -0.5000000      145.5000000       17.282        0.882        0.352
    -1.5000000        0.5000000      145.5000000       17.394        1.161        0.505
    -1.5000000        1.5000000      145.5000000       17.356        1.122        0.499
    -1.5000000        2.5000000      145.5000000       17.318        1.084        0.493
    -1.5000000        3.5000000      145.5000000       17.280        1.045        0.487
